time_key,open,high,low,close,volume
2024-10-24,173.315,174.954233,172.91,174.38,3488036
2024-10-25,174.78,176.29,173.1,173.52,3674717
2024-10-28,174.045,174.17,172.135,172.42,4329971
2024-10-29,172.29,174.0231,172.29,173.43,4122913
2024-10-30,173.98,176.16,172.79,174.56,5822451
2024-10-31,170.52,170.88,167.3975,167.84,9477476
2024-11-01,170.15,172.27,169.1,170.02,5680595
2024-11-04,170.31,170.48,168.73,169.59,4804405
2024-11-05,170.47,171.89,170.32,171.78,5456754
2024-11-06,178.52,182.1,177.4153,181.24,11084987
2024-11-07,181.08,186.67,180.54,186.33,7759399
2024-11-08,186.26,190.16,186.26,189.25,8520419
2024-11-11,191.05,191.5,187.84,189.13,5973638
2024-11-12,188.54,190.61,187.2,189.58,6629891
2024-11-13,189,191.77,188.7895,189.63,5695426
2024-11-14,188.66,189.59,186.71,187.05,7804318
2024-11-15,184.52,185.8,182.33,183.74,8986276
2024-11-18,184.3,186.18,182.88,185.73,6291406
2024-11-19,184.89,189.32,184.32,188.9,8116958
2024-11-20,190.9,190.97,187.82,190.75,4860222
2024-11-21,191.94,196.04,191.6401,192.43,11394263
2024-11-22,193,194.2,191.06,192.29,6879447
2024-11-25,194.5,194.75,187.99,187.99,15138474
2024-11-26,188.32,192.4,188.32,190.37,6427210
2024-11-27,188.955,188.955,182.22,182.7,8368797
2024-11-29,184.01,185.93,184,184.84,4628044
2024-12-02,185.29,185.29,181,181.41,8859696
2024-12-03,181.18,183.04,179.11,182.89,8917062
2024-12-04,188,189.79,185.9,188.19,8906283
2024-12-05,189.02,189.02,185.85,186.24,6398073
2024-12-06,187,192.63,186.38,191.69,10503383
2024-12-09,196.3,198.3099,188.93,190.45,20157957
2024-12-10,173.46,177.8,171.0592,177.74,26502016
2024-12-11,178,181.38,174.8301,178.58,13188714
2024-12-12,178,178.1699,174.81,175.32,8154218
2024-12-13,175,176.14,171.64,173.39,8351106
2024-12-16,173.84,174.27,170.93,171.23,9571955
2024-12-17,170.75,172.99,169.27,169.71,8940204
2024-12-18,169.41,171.23,165.36,165.41,8817934
2024-12-19,167.55,171,167.4,168.79,8386394
2024-12-20,167.73,171.26,165.63,169.66,13810525
2024-12-23,169.59,169.62,167.1683,169.14,6518229
2024-12-24,169.7,171.77,169.03,171.41,2451547
2024-12-26,170.5,172.55,170.5,171.68,4103882
2024-12-27,170.38,171.15,167.2,168.96,4344287
2024-12-30,166.51,167.91,164.55,166.91,5254833
2024-12-31,167.2,167.3,165.84,166.64,4307524
2025-01-02,168.52,168.69,164.9,166.03,5365667
2025-01-03,166.7,167.2,165.27,166.32,5878052
2025-01-06,167.31,168.05,165.19,165.69,6845373
2025-01-07,165.58,166.16,161.32,162.03,7712222
2025-01-08,162.18,163.98,161.43,163.14,7596214
2025-01-10,159.2,159.2,153.92,154.5,13593882
2025-01-13,153.74,154.15,152.42,153.92,8828492
2025-01-14,156.42,157.25,154.35,156.31,7410242
2025-01-15,158.665,159.1495,157.26,158.31,10701234
2025-01-16,160.15,161.5,158.41,159.54,9210555
2025-01-17,161.77,163.16,160.54,161.03,11618283
2025-01-21,163.87,173.37,162.75,172.57,30232048
2025-01-22,191.51,191.99,180.57,184.22,48028518
2025-01-23,181.64,186.57,181.5,186.47,17314645
2025-01-24,188.64,189.1,181.87,183.6,12147180
2025-01-27,168.9,172.52,152.66,158.28,42201592
2025-01-28,162.99,165.825,156.75,164,20319300
2025-01-29,164.025,164.025,160.01,162.02,9866583
2025-01-30,164.78,171.49,164.1,170.38,14981706
2025-01-31,170.41,173,169.1296,170.06,8722470
2025-02-03,163.2,169.9,163.2,168.6,8250588
2025-02-04,170.4,170.4,166.35,167.89,6776982
2025-02-05,168.99,171.89,168.52,171.66,7866650
2025-02-06,173,175.65,171.57,172.35,7036908
2025-02-07,175,177.39,173.18,174.46,9991297
2025-02-10,176,179.99,174.92,178.92,7625900
2025-02-11,177.62,179.12,176.45,177.19,6528766
2025-02-12,174.89,174.89,170.71,172.22,7454841
2025-02-13,173,174.375,172.1,173.86,6421673
2025-02-14,174.25,175.03,172.8128,174.16,7260851
2025-02-18,176.75,182.24,176.09,179.8,11430497
2025-02-19,178.58,181.68,175.7,181.52,8688500
2025-02-20,179.81,180.27,174.43,176,8737035
2025-02-21,176.12,176.875,167.55,167.81,9713871
2025-02-24,173.57,174.17,164.66,169.96,10639053
2025-02-25,169.29,170.6,164.441,168.54,8316085
2025-02-26,170.98,173.87,169.125,172.47,6915115
2025-02-27,173,174.86,164.58,164.76,7436810
2025-02-28,163.11,166.15,160.81,166.06,12843286
2025-03-03,166.95,167.12,161.13,162.02,8081840
2025-03-04,159.22,159.76,153.52,157.47,13171897
2025-03-05,158.06,162.4853,157.05,161.56,7140996
2025-03-06,157.155,157.155,149.7286,150.94,12321246
2025-03-07,150.62,156.48,148.5,155.16,12646488
2025-03-10,150.53,152.52,146.8,148.79,21486052
2025-03-11,143.42,145.78,137.7,144.18,27200233
2025-03-12,146.23,152.23,145.0121,150.89,15373853
2025-03-13,149.79,150.17,145.48,147.66,14187662
2025-03-14,148.915,150.88,147.88,149.27,9329964
